Ваш SKU *,Название группы вариантов,Название товара *,Бренд *,Применение,Назначение,Название сервиса,Вид поставки,Платформа,Совместимость с ОС,Сервис активации,Номинал карты,Продолжительность подписки,Территория активации,Бонусы,Жанр игры,Количество подключаемых аккаунтов,Возрастное ограничение,Инструкция по активации,Дополнительная информация,Активация после покупки,"Количество упаковок в товаре, шт.",Территория использования
GFT1833,,Подарочная карта Minecraft Legends Deluxe Edition для Windows | НЕ РФ/СНГ | Оригинальный код,Microsoft,сервис активации,игры,Minecraft Legends Deluxe Edition,электронный ключ,ПК,Windows,Microsoft Store,,99 лет,все страны,,"выживание,симулятор",1,7+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT5033,,Подарочная карта Minecraft Legends Standard Edition для Windows | НЕ РФ/СНГ | Оригинальный код,Microsoft,пополнение счета,игры,Minecraft,электронный ключ,ПК,Windows,"Microsoft Store,Minecraft",,99 лет,все страны,,,1,7+,,"не подходит для аккаунтов РФ, СНГ и КНР",,,все страны
GFT2129,,Подарочная карта Minecraft Legends для Xbox | НЕ РФ/СНГ | Оригинальный код,Minecraft,сервис активации,игры,Minecraft,электронный ключ,"Xbox Series XIS,Xbox One",Windows,Xbox Store,,99 лет,все страны,,выживание,1,6+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT2476,,Подарочная карта Minecraft Triple Bundle для Windows | НЕ РФ/СНГ | Оригинальный код,Microsoft,пополнение счета,игры,Minecraft,электронный ключ,ПК,Windows,"Microsoft Store,Minecraft",,99 лет,все страны,,,1,7+,,"не подходит для аккаунтов РФ, СНГ и КНР",,,все страны
GFT2953,Подарочная карта Minecraft Mineсoins для Xbox Глобальный,Подарочная карта Minecraft на 1720 Mineсoins для Xbox | НЕ РФ/СНГ | Оригинальный код,Microsoft,оплата игровой валюты,игры,Minecraft,электронный ключ,"Xbox Series XIS,Xbox One",Windows,Xbox Store,1720,99 лет,все страны,,выживание,1,6+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT2954,Подарочная карта Minecraft Mineсoins для Xbox Глобальный,Подарочная карта Minecraft на 3500 Mineсoins для Xbox | НЕ РФ/СНГ | Оригинальный код,Microsoft,оплата игровой валюты,игры,Minecraft,электронный ключ,"Xbox Series XIS,Xbox One",Windows,Xbox Store,3500,99 лет,все страны,,выживание,1,6+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT6454,Подарочная карта Minecraft Mineсoins для Xbox Глобальный,Подарочная карта Minecraft на 8800 Minecoins для Xbox | НЕ РФ/СНГ | Оригинальный код,Microsoft,оплата игровой валюты,игры,Minecraft,электронный ключ,"Xbox One,Xbox Series XIS",Windows,Xbox Store,8800,99 лет,все страны,,"приключения,выживание",1,"6+, 10+, 12+",,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT6968,,Подарочная карта Minecraft: Java & Bedrock Edition Deluxe Collection для ПК | НЕ РФ/СНГ | Оригинальный код,Нет бренда,сервис активации,игры,Minecraft: Java & Bedrock Edition Deluxe Collection,электронный ключ,ПК,Windows,Microsoft Store,39.99,99 лет,все страны,,"выживание,приключения",1,16+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT1978,,Подарочная карта Minecraft: Java & Bedrock Edition для Windows | НЕ РФ/СНГ | Оригинальный код,Microsoft,пополнение счета,игры,Minecraft,электронный ключ,ПК,Windows,"Microsoft Store,Minecraft",,99 лет,все страны,,"симулятор,приключения",1,7+,,"не подходит для аккаунтов РФ, СНГ и КНР",,,все страны
GFT6008,,Подарочная карта Minecraft: Java & Bedrock Edition для ПК | Не РФ/СНГ | Оригинальный код,Microsoft,сервис активации,игры,Minecraft: Java & Bedrock Edition,электронный ключ,ПК,Windows,Microsoft Store,29.99,99 лет,все страны,,,1,3+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT5057,Подарочная карта Mobile Legends: Bang Bang Глобальный,Подарочная карта Mobile Legends: Bang Bang на 11 Diamonds | Все страны | Оригинальный код,MOONTON,оплата игровой валюты,игры,Mobile Legends: Bang Bang,электронный ключ,мобильное устройство,"iOS,Android",Mobile Legends,11,99 лет,все страны,,"экшн,стратегия",1,12+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT3568,Подарочная карта Mobile Legends: Bang Bang Глобальный,Подарочная карта Mobile Legends: Bang Bang на 1155 Diamonds | Все страны | Оригинальный код,MOONTON,оплата игровой валюты,игры,Mobile Legends: Bang Bang,электронный ключ,мобильное устройство,"iOS,Android",Mobile Legends,1155,99 лет,все страны,,"экшн,стратегия",1,12+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT5067,Подарочная карта Mobile Legends: Bang Bang Глобальный,Подарочная карта Mobile Legends: Bang Bang на 12000 Diamonds | Все страны | Оригинальный код,MOONTON,оплата игровой валюты,игры,Mobile Legends: Bang Bang,электронный ключ,мобильное устройство,"iOS,Android",Mobile Legends,12000,99 лет,все страны,,"экшн,стратегия",1,12+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT3569,Подарочная карта Mobile Legends: Bang Bang Глобальный,Подарочная карта Mobile Legends: Bang Bang на 1765 Diamonds | Все страны | Оригинальный код,MOONTON,оплата игровой валюты,игры,Mobile Legends: Bang Bang,электронный ключ,мобильное устройство,"iOS,Android",Mobile Legends,1765,99 лет,все страны,,"экшн,стратегия",1,12+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT3566,Подарочная карта Mobile Legends: Bang Bang Глобальный,Подарочная карта Mobile Legends: Bang Bang на 275 Diamonds | Все страны | Оригинальный код,MOONTON,оплата игровой валюты,игры,Mobile Legends: Bang Bang,электронный ключ,мобильное устройство,"iOS,Android",Mobile Legends,275,99 лет,все страны,,"экшн,стратегия",1,12+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT3570,Подарочная карта Mobile Legends: Bang Bang Глобальный,Подарочная карта Mobile Legends: Bang Bang на 2975 Diamonds | Все страны | Оригинальный код,MOONTON,оплата игровой валюты,игры,Mobile Legends: Bang Bang,электронный ключ,мобильное устройство,"iOS,Android",Mobile Legends,2975,99 лет,все страны,,"экшн,стратегия",1,12+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT3565,Подарочная карта Mobile Legends: Bang Bang Глобальный,Подарочная карта Mobile Legends: Bang Bang на 55 Diamonds | Все страны | Оригинальный код,MOONTON,оплата игровой валюты,игры,Mobile Legends: Bang Bang,электронный ключ,мобильное устройство,"iOS,Android",Mobile Legends,55,99 лет,все страны,,"экшн,стратегия",1,12+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT3567,Подарочная карта Mobile Legends: Bang Bang Глобальный,Подарочная карта Mobile Legends: Bang Bang на 565 Diamonds | Все страны | Оригинальный код,MOONTON,оплата игровой валюты,игры,Mobile Legends: Bang Bang,электронный ключ,мобильное устройство,"iOS,Android",Mobile Legends,565,99 лет,все страны,,"экшн,стратегия",1,12+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT3572,Подарочная карта Mobile Legends: Bang Bang Глобальный,Подарочная карта Mobile Legends: Bang Bang на 6000 Diamonds | Все страны | Оригинальный код,MOONTON,оплата игровой валюты,игры,Mobile Legends: Bang Bang,электронный ключ,мобильное устройство,"iOS,Android",Mobile Legends,6000,99 лет,все страны,,"экшн,стратегия",1,12+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT625,Подарочная карта Mobily Data Саудовская Аравия,Подарочная карта Mobily Data на 109.25 Саудовских риял | Саудовская Аравия | Оригинальный код,Нет бренда,пополнение счета,мобильная связь,Mobily,электронный ключ,мобильное устройство,"iOS,Android",Mobily,109.25,99 лет,Саудовская Аравия,,,1,18+,,только для аккаунтов Саудовской Аравии,бессрочно,,Саудовская Аравия
GFT631,Подарочная карта Mobily Data Саудовская Аравия,Подарочная карта Mobily Data на 254 Саудовских риял | Саудовская Аравия | Оригинальный код,Нет бренда,пополнение счета,мобильная связь,Mobily,электронный ключ,мобильное устройство,"iOS,Android",Mobily,253,99 лет,Саудовская Аравия,,,1,18+,,только для аккаунтов Саудовской Аравии,бессрочно,,Саудовская Аравия
GFT627,Подарочная карта Mobily Data Саудовская Аравия,Подарочная карта Mobily Data на 299 Саудовских риял | Саудовская Аравия | Оригинальный код,Нет бренда,пополнение счета,мобильный интернет,Mobily,электронный ключ,мобильное устройство,"iOS,Android",Mobily,299,99 лет,Саудовская Аравия,,,1,18+,,только для аккаунтов Саудовской Аравии,бессрочно,,Саудовская Аравия
